Start,End,Date text,Date (for research purposes only),Region,Country,Lat,Long,Basis,Headline,Description,Sources,
2006,2006,2006,,Eastern Asia,China,29.325,102.687,Trigger,Dam protester executed in China,"Chinese authorities execute a man who took part in protests against the Pubugou dam in Sichuan province in 2004 (see China 2004 entry). Chen Tao is convicted of killing a policeman, but is executed before legal appeals are completed.",British Broadcasting Corporation (BBC) 2006d; Coonan 2006,
1983,1983,1983,,Western Asia,Lebanon,33.8292,35.4947,Weapon,Terrorists destroy US military barraks in Lebanon,"An explosives-laden truck disguised as a water delivery vehicle destroys a barracks in a US military compound, killing more than 300 people. The attack is blamed on Hezbollah with the support of the Iranian government.",British Broadcasting Corporation (BBC) 2007,
2009,2009,2009,,Sub-Saharan Africa,Ethiopia,5,35,"Trigger, Casualty",Village attacked in Ethiopian water pipe conflict,"Ethiopian Somalis attack a Borana community in the Oromia region over ownership of a new borehole being drilled on the disputed border between them. Three people from the Oromia village of Kafa are killed and seven injured, and the entire community driven from their homes. The drilling rig is destroyed, as well.",British Broadcasting Corporation (BBC) 2009,
2012,2012,2012,,Western Asia,Syria,36.2167,37.1667,Casualty,Syrian Civil War battle damages Aleppo pipeline,"During the Syrian Civil War, the major pipeline delivering water to the city of Aleppo is badly damaged. The city of three million suffers severe shortages of drinking water.",British Broadcasting Corporation (BBC) 2012,
2014,2014,2014,,Western Asia,"Ukraine, Crimea",46.0121,34.5514,Weapon,Ukraine accused of cutting water supply,"After Russia annexes Crimea from the Ukraine, they accuse the Ukraine of cutting off the water supply in the North Crimea Canal, leading to a water shortage for Crimea's agricultural fields growing grapes, rice, maize, and soya. The canal delivers water from the Dnieper River in southern Ukraine and accounts for 80% of Crimea's water supply. The Ukraine government denies any political motive for the cut in supply, describing the reduced flow as a temporary result of building a flow structure to measure water deliveries.",British Broadcasting Corporation (BBC) 2014a,
2014,2014,2014,,Western Asia,Iraq,33.3085,43.7724,"Weapon, Casualty",U.S.-led coalition launches airstrikes to protect dams from ISIS,"A U.S.-led coalition launches a series of air strikes against targets of the Islamic State in Iraq and the Levant (ISIL) in areas around Mosul Dam, Fallujah Dam, and Haditha Dam in Iraq. U.S. aircraft destroy an ISIL-built earthen berm near the Fallujah Dam. This berm was built by ISIL to control downstream water supplies and to increase the flow of the Euphrates River into Abu Ghraib canals, flooding local Shiite neighborhoods in east Fallujah and forcing the locals to evacuate.",British Broadcasting Corporation (BBC) 2014b; Barnes 2014,
2019,2019,2019,6/1/2019,Southern Asia,India,13.08268,80.270718,Trigger,A man is stabbed by his neighbor over a water sharing dispute in India,"A man is stabbed by his neighbor over a water sharing dispute in Chennai, India. Current drought and water supply management problems have led to lack of water for millions living in the city.",British Broadcasting Corporation (BBC) 2019,
2005,2005,2005,,Sub-Saharan Africa,Kenya,2.33333,37.9833,"Trigger, Weapon",Over 90 dead in Kenya water fight,"Police are sent to the northwestern part of Kenya to control a major violent dispute between Kikuyu and Maasai groups over water. More than 20 people are killed in fighting in January. By July, the death toll exceeds 90, principally in the rural center of Turbi. The tensions arise over grazing and water. Maasai herdsmen accuse a local Kikuyu politician of diverting a river to irrigate his farm, depriving downstream livestock. Fighting displaces more than 2000 villagers and reflects tensions between nomadic and settled communities.",British_Broadcasting_Corporation_BBC_2005; Ryu 2009; Lane 2005,
1987,1989,1987-1989,NA,Northern Africa,Sudan,14.378276,24.90422,Trigger,Lack of water from drought contributes to onset of the Arab-Fur War.,"The Arab-Fur War (1987-1989) between the Arab and Fur ethnic groups in Libya, is triggered in part by severe drought that strains farmer-herder relationships. Libyan leader Gaddafi sends drought relief supplies and weaponry to opposing sides. ",Bromwich 2018,
2012,2014,2012-2014,,Northern Africa,Morocco,31.369,-5.79029,"Trigger, Casualty, Weapon",Moroccan villagers cut off water supply from local mine,"A group of Moroccan villagers, including many women and children try to stop the water supply to a local silver mine. They shut down some of the main wells that supply water for mining citing concerns about water allocation and pollution. The facility in Imiter, a Berber village nestled in the High Atlas mountains, has been accused of drawing more than its fair share of water and polluting what it uses.",Brouksy 2012; Alami 2014,
2014,2014,2014,,North America,United States,34.2565,-85.1671,Casualty,Three US citizens arrested for planning attack on water treatment plant,"Three men in the state of Georgia are arrested for planning to attack water treatment plants, power grids, and other infrastructure in an effort to incite anti-government militias in the United States to fight the federal government. A criminal complaint charges them with conspiring to receive and possess firearms, specifically pipe bombs and thermite grenades. Thermite grenades are military-grade weapons typically used to destroy vehicles, weapons systems, and other equipment.",Brumback 2014; Rome News-Tribune 2014,
2011,2011,2011,,Western Asia,"Palestine, Israel",32.0853,35.3301,Casualty,Israeli settlers destroy wells in attack on West Bank village,"Israelis from nearby settlements attack Qasra, a West Bank village of 6,000, destroying crops and a water well. Attackers previously burned down a mosque and damaged hundreds of olive trees.",Bsharat and Ramadan 2011,
2014,2014,2014,,Western Asia,Syria,36.2154,37.1496,Casualty,"Government reportedly bombs pumping stations in Aleppo, Syria","The water supply for the Syrian city of Aleppo is cut off in both regime and opposition-controlled areas. The city's water pumping stations are bombed, reportedly by the government, as are water distribution networks in opposition-controlled areas. In return, the Syrian Ministry of Foreign Affairs blames opposition forces for the water crisis.",Bulos 2014; Syria Direct 2014,
1992,1992,1992,,Southern Europe,Bosnia and Herzegovina,43.8635,18.4208,Weapon,Serbs cut off water and power to Bosnian cities,"The Serbian siege of Sarajevo, Bosnia and Herzegovina, includes a cutoff of all electrical power and the water feeding the city from the surrounding mountains. The lack of power cuts the two main pumping stations inside the city despite pledges from Serbian nationalist leaders to United Nations officials that they would not use their control of Sarajevo's utilities as a weapon. Bosnian Serbs take control of water valves regulating flow from wells that provide more than 80 percent of water to Sarajevo; reduced water flow to city is used to ""smoke out"" Bosnians.",Burns 1992; Husarska 1995,
2002,2002,2002,,Latin America and the Caribbean,Bolivia,-17.61,-66.02,"Trigger, Casualty",Bolivian irrigators and townsmen clash over water rights,"Tarata, Bolivia experiences violent confrontations between irrigators from the region of Arbieto and residents of the nearby town of Tarata. The dispute centers on the allocation of water among these users and new water infrastructure that took water from the Laka Laka dam. In October, irrigators destroy approximately two kilometers of water supply pipeline. In response, residents destroy part of a primary irrigation channel. After failed negotiations, the water system is damaged again in December in another confrontation between irrigators and village residents.","Bustamante et al 2004, Moriarty Butterworth and van Koopen 2004",
-52,-52,52 BC,,Southern Europe,Roman Empire,47.5375,4.49083,Weapon,Caesar constructs ditches in Siege of Alesia,"Caesar constructs water-filled ditches as blockade during Siege of Alesia in Gaul, site of modern-day Alise-Sainte-Reine in Côte-d'Or near Dijon, France.",Caesar 52 BC,
1951,1951,1951,,Eastern Asia,North Korea,38.1175,127.779,"Weapon, Casualty",US Bombers Destroy Korea's Hwacheon Dam,"The Hwacheon Dam in Korea, completed in 1944, becomes both a target and a tool of opposing forces during the Korean War. In 1951, North Korea opens the dam to flood downstream areas and slow advancing UN forces. In response, the US Navy sends aircraft to bomb the dam, the last known American use of aerial torpedoes in war.",Calcagno 2004,
2012,2012,2012,,Latin America and the Caribbean,Brazil,-15,-48,Trigger,Killings in water conflicts in Brazil,"Northeastern Brazil sees growing conflicts after severe drought reduces water availability. News agencies report that one person a day is being killed from ""water wars,"" which involve locals fighting over scarce supplies.",Catholic Online 2012,
1987,1987,1987,NA,South-eastern Asia,Philippines,12.87972,121.77402,Weapon,19 police recruits in the Philippines die from poisoned water and candy from an unknown source,19 Filipino police recruits die after drinking and eating water and candy from an unknown person.,CBC News Online 2004,
2011,2011,2011,,Northern Africa,Libya,30.4119,19.5698,Casualty,NATO attacks water pipe factory in Libya,"NATO forces attack on a factory that produces pipes for the ""Great Man-Made River"" water supply pipeline near Brega, reporting that it was used as a base for military operations and the launching of missiles.",Center for Research on Globalization (CRG) 2013; Human Rights Investigations (HRI) 2011; Water Technology n.d.,
2004,2004,2004,,Sub-Saharan Africa,South Africa,-26.5333,28.8,Trigger,Violent protests in South Africa,"Poor delivery of water and sanitation services in Phumelela Township leads to several months of protests. No one is killed during the protests, but a few people are seriously injured, and municipal property is damaged.",Centre for Development and Enterprise (CDE) 2007,
1993,1993,1993,,Sub-Saharan Africa,Kenya,-0.688242,36.2579,Trigger,Violence occurs over land use of a water catchment area in Kenya,"In October 1993, violence erupts in the Narok district of Kenya's Rift Valley province. Maasai warriors attack immigrant Kikuyu settlers and massacre at least 17 of them, after Kikuyi settlers allegedly mutilated Maasai cattle. 16 more Kikuyus are killed in other parts of Narok and the rest of the Kikuyu population is forced out of the area and into refugee camps. Environmental concerns played a central role: a few months previously, the Narok County Council had declared Enosupukia, the site of the conflict, to be a water catchment area and decreed that all inhabitants, mostly transplanted Kikuyus, had to leave.",Cerami 2013,
